data1,data2
0xFC,0xFF709B
0xFD,0xFF6E78
0xFE,0xFF6D11
0xFF,0xFF6BF4
0x00,0xFF6B47
0x01,0xFF6BA4
0x02,0xFF6C7C
0x02,0xFF6D8B
0x03,0xFF6FBC
0x04,0xFF7214
0x05,0xFF75BE
0x05,0xFF7996
0x06,0xFF7E6A
0x06,0xFF8319
0x06,0xFF890D
0x06,0xFF8EE5
0x07,0xFF9596
0x07,0xFF9C38
0x07,0xFFA345
0x07,0xFFAAE9
0x06,0xFFB18A
0x06,0xFFB9F0
0x06,0xFFC093
0x06,0xFFC8D3
0x06,0xFFD039
0x06,0xFFD7CE
0x06,0xFFDF22
0x06,0xFFE6E7
0x06,0xFFEE21
0x06,0xFFF5DE
0x06,0xFFFD2E
0x06,0x0004E5
0x06,0x000C59
0x06,0x001459
0x06,0x001BF5
0x06,0x002390
0x06,0x002B82
0x06,0x003344
0x06,0x003A93
0x06,0x004203
0x06,0x004A11
0x06,0x0050FE
0x06,0x00582F
0x06,0x005F18
0x06,0x006558
0x06,0x006B28
0x06,0x0070E0
0x06,0x007558
0x06,0x007A13
0x06,0x007D8F
0x06,0x0080F6
0x05,0x008364
0x05,0x00859F
0x04,0x0086DE
0x04,0x0087C5
0x03,0x00885D
0x02,0x0087F7
0x02,0x0087B5
0x01,0x0086E8
0x00,0x00855E
0xFF,0x008475
0xFE,0x008249
0xFD,0x0080C2
0xFC,0x007E63
0xFB,0x007C0D
0xFB,0x0079F9
0xFA,0x007776
0xFA,0x00751A
0xF9,0x007249
0xF9,0x006F7C
0xF9,0x006C41
0xF8,0x0069C1
0xF8,0x0066C0
0xF9,0x006386
0xF9,0x00607F
0xF9,0x005CE6
0xFA,0x0059A2
0xFA,0x0055D9
0xFB,0x005293
0xFB,0x004DD9
0xFC,0x004A8D
0xFD,0x00454C
0xFD,0x00410C
0xFE,0x003BBA
0xFF,0x003708
0xFF,0x003166
0x00,0x002BD0
0x01,0x002659
0x01,0x0020DB
0x02,0x001A55
0x03,0x001512
0x03,0x000F5A
0x04,0x000A01
0x04,0x0004AF
0x04,0x00004B
0x05,0xFFFB2E
0x05,0xFFF784
0x05,0xFFF3A4
0x05,0xFFF0EF
0x04,0xFFEE7F
